UNIQUE_CARRIER,CARRIER
MAC,B6
XY,VX
COC,VX
GSA,04Q
RZZ,AJQ
GLW,AJQ
PRN,AJQ
STZ,AJQ
SWT,AJQ
TSF,AJQ
VEZ,AMQ
WEB,AMQ
AAR,G4
CHI,G4
MRC,0WQ
OHZ,0WQ
PRO,0WQ
SAI,0WQ
SLZ,AA
AAZ,AA
IMP,DL
TWA,DL
WRT,DL
COL,DL
MVA,DL
CHL,DL
JCZ,DL
MIS,DL
STG,DL
CKI,DL
CMD,DL
EMA,DL
ORI,DL
RAN,DL
AJ,DL
SKI,DL
WWI,DL
AND,DL
ACG,DL
AAA,DL
AAB (1),GL
AAE,GL
AAL,GL
ABH,UA
ABI,UA
ABO,UA
ACA,UA
ACH,UA
ACI,UA
ACO,UA
ACP,UA
ACS,WN
ACT,WN
ACK,WN
AEC,WN
AFA,WN
AGA,WN
AIA,WN
AIE,WN
AIM,WN
AIN,WN
ALE,WN
ALI,WN
ALL,WN
AMA,27Q
AMI,27Q
ANB,27Q
ANM,27Q
ANO,27Q
ANT,27Q
AOI,X9
API,09Q
APL,09Q
APY,09Q
ARI,09Q
ARN,09Q
ARO,09Q
ARR,09Q
ASD,09Q
ASI,09Q
ASP,KLQ
AST,KLQ
ATN,LF
ATO,LF
ATS,SY
ATT,SY
ATX,SY
AVA,SY
AVI,SY
AVS,SY
AVZ,SY
BAC,SY
BAH,U7
BAK,U7
BAR,9S
BCA,9S
BEN,AS
BEY,AS
BHK,AX
BHO,AX
BIR,KS
BMT,KS
BOA,KS
BRO,KS
BUR,KS
CAC,KS
CAI,KS
CAM,KS
CAP,KS
CAT,KS
CAV,KS
CBA,KS
CEN,KS
CET,ZK
CHD,ZK
CHE,4B
CHF,AJQ
CHO,AJQ
CHS,AJQ
CIS,AJQ
CNN,G4
COB,G4
COK,AA
COM,AA
COR,AA
COS,AA
COT,AA
COU,AA
CPA,AA
CPC,AA
CRA,AA
CRN,AA
CRO,AA
CRT,DL
CSK,DL
CTA,DL
CTH,DL
CVA,DL
DAN,DL
DEA,DL
DEC,G7
DHL,G7
DIC,OO
DPA,OO
DPI,OO
DST,OO
EAI,OO
EAS,OO
ECI,OO
EDE,OO
EFA,OO
EGL,OO
EHA,OO
EIA,OO
EKA,OO
ERI,OO
ERO,OO
EVA,OO
FAR,OO
FBI,OO
FCA,OO
FDA,OO
FDM,OO
FLM,OO
FOR,OO
FOS,OO
FVA,OO
FWA,OO
GAS,OO
GAV,OO
GBA,OO
GCA,OO
GCS,OO
GHA,OO
GMA,OO
GOF,OO
GRO,OO
GSL,OO
GUL,OO
GUN,OO
GWE,OO
HEU,OO
HFS,OO
HMZ,OO
HOL,OO
HOR,OO
HPZ,UA
HRA,UA
HSZ,UA
HUB,UA
HWK,UA
HYA,UA
ICF,UA
III,UA
INA,UA
IND,UA
IPI,UA
ISL,UA
JAM,UA
JCM,UA
JER,UA
KAI,UA
KEE,UA
KWZ,UA
KXZ,UA
LAN,UA
LAW,UA
LHA,UA
LLA,UA
LOS,UA
LVA,UA
MAG,UA
MAI,UA
MAR,UA
MAX,UA
MCO,UA
MDU,UA
MET,UA
MIY,UA
MLL,UA
MMH,UA
MNZ,UA
MRR,UA
MST,UA
MTA,UA
MTR,UA
NAC,UA
NEB,UA
NEC,WN
NEV,WN
NGL,WN
NHA,WN
NJA,WN
NPT,WN
NTH,WN
NUM,WN
NYH,WN
OAK,WN
OCR,WN
OFF,WN
OHA,WN
OIZ,WN
OMK,WN
OMN,WN
OOZ,WN
OWS,WN
PAI,WN
PBA,YX
PCA,YX
PDA,YX
PEA,YX
PER,YX
PET,YX
PHL,YX
PHX,YX
PIA,YX
PLA,YX
PLZ,YX
PMA,F9
PNR,F9
POC,F9
POM,F9
PON,F9
PRA,F9
PRR,F9
PVA,F9
QOZ,F9
RAL,F9
REA,F9
RED,F9
RHA,F9
RIC,F9
RID,F9
RIO,F9
RIV,F9
RJS,F9
ROE,F9
ROY,F9
RWG,F9
SAJ,F9
SAM,F9
SAS,F9
SAX,FX
SBA,FX
SBN,FX
SCO,FX
SCT,FX
SCY,FX
SEM,FX
SFI,FX
SFO,FX
SFS,FX
SHS,FX
SHV,NK
SIA,NK
SJA,YV
SKL,AX
SKM,AX
SMC,AX
SNC,MQ
SNE,MQ
SOA,ZK
SOL,ZK
SPF,EV
SRL,EV
SSP,EV
SSS,EV
SST,5X
STF,5X
STR,5X
SUI,5X
SUT,5X
SVL,AA
SWA,AA
TAC,AA
TAL,DL
TAS,DL
TCA,DL
TCE,G7
TCI,G7
TCL,OO
TCO,OO
TEN,OO
TER,OO
THO,OO
TIA,OO
TIS,OO
TMA,OO
TNS,OO
TRP,OO
TSI,OO
TUL,OO
TYE,OO
UAI,OO
USA,UA
VAG,UA
VER,UA
VIG,UA
VIN,UA
VLY,UA
WAC,UA
WCA,UA
WCI,UA
WES,UA
WET,UA
WFS,UA
WIA,UA
WIL,UA
WNG,UA
ZFZ,UA
ZIA,UA
ZMZ,UA
ZYZ,UA
PSA,UA
RV (1),WN
NW,WN
NW,WN
NW,WN
NW,WN
WC,WN
FTI,WN
QH,WN
QH,WN
QH,WN
OC,WN
PS (1),WN
RIQ,WN
RIQ,YX
RIQ,YX
WN,YX
WN,YX
VL,YX
RCA,YX
QG,F9
RC,F9
DAU,F9
NY,F9
GIQ,F9
GIQ,F9
GIQ,F9
CJ,FX
UNQ,FX
UNQ,9E
PTQ,9E
PTQ,5X
PTQ,AA
ACD,G7
ACL,G7
ACW,G7
AIG,G7
AMT,G7
BOI,G7
CMB,OO
DUZ,OO
EEZ,OO
FAA,OO
FAC,OO
PHR,OO
ROS,OO
RRT,OO
SSA,OO
XAA,OO
XAC,OO
XAJ,OO
XAT,OO
XBF,OO
XBH,OO
XBI,OO
XBJ,OO
XBQ,OO
XBR,OO
XAQ,OO
XAZ,OO
XBP,OO
XBT,OO
XBX,UA
XAM,UA
XAE,UA
XAF,UA
XAG,UA
XAI,UA
XAK,UA
XAO,UA
XAR,UA
XAS,UA
XAY,UA
XBM,WN
XAU,WN
CGL,WN
CL,WN
CL,WN
CL,WN
AEQ,WN
AGQ,WN
AIQ,WN
ALQ,WN
AO,WN
BLQ,WN
BXQ,WN
DA,WN
DM,WN
DOQ,WN
DQQ,WN
EBQ,WN
ERQ,WN
FAQ,WN
HIQ,WN
HRQ,WN
HVQ,WN
ICQ,WN
IKQ,YX
IN,YX
IR,YX
IXQ,YX
JXQ,YX
KKQ,YX
KWQ,YX
LIQ,YX
MAQ,YX
MGQ,YX
MZ,YX
NFQ,YX
NKQ,YX
NN,YX
NSQ,YX
NTQ,YX
NUQ,YX
ONQ,F9
OWQ,F9
PD (1),F9
PV,F9
PW,F9
QB,AX
RB,AX
RSQ,AX
RY,AX
SJQ,AX
SSQ,AX
ST,AX
STQ,AX
TLQ,EV
TXQ,5X
UMQ,CP
VOQ,CP
WDQ,AA
WGQ,AA
WM,G7
XBV,G7
YBQ,G7
AE,G7
ND,OO
JU (1),OO
UT,OO
HJ,OO
SH,OO
NBQ,OO
SZQ,OO
BOQ,OO
ADQ,OO
DO,OO
WT,OO
PZ,OO
GE,UA
VA (1),UA
ED,UA
CF,UA
GU,UA
CP (1),UA
GY,UA
ESQ,UA
ON,UA
PL,UA
BBQ,UA
SN (1),UA
RK,UA
AC,UA
AF,UA
AI,UA
AI,UA
AM,UA
AR,UA
AT,UA
AV,UA
AY,UA
AZ,UA
AZ,UA
BA,UA
BD,WN
BW,WN
BW,WN
CA,WN
CI,WN
CV,WN
FI,WN
IB,WN
JL,WN
JM,WN
KE,WN
KL,WN
LA,WN
LB,YX
LH,YX
LO,YX
LR,YX
LT,F9
LY,F9
MX,F9
NWQ,F9
OA,SY
PH,AX
PK,AX
PR,MQ
PY,MQ
QF,5X
RG,5X
RJ,5X
RO,5X
SA,G7
SK,G7
SQ,G7
SU,OO
SU,OO
TA,OO
TG,OO
TP,OO
UP,OO
MC,OO
HLQ,OO
UC,OO
ALT,OO
ANC,OO
BAA,OO
DIR,OO
SKT,OO
TGO,OO
THQ,OO
THQ,OO
THQ,UA
ROA,UA
AED,UA
ALX,UA
AOR,UA
AVR,UA
DOL,UA
DVO,UA
KIN,UA
NFA,UA
SLO,UA
STA,UA
TRO,UA
WIR,UA
WSU,UA
HX (1),UA
HX (1),UA
VB (1),UA
QS (1),UA
HAR,UA
MIN,UA
VIS,UA
FT,WN
FT,WN
FT,WN
FT,WN
OD (1),WN
